cd,nm,corp_name,stock_code,industry,main_product,listed_date,settle_month,hpage,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,증권구분,주식종류,액면가,상장주식수,yh_code,stock_code_ori
A051910,LG화학,LG화학,051915,기초 화학물질 제조업,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,http://www.lgchem.com,KR7051911006,051915,LG화학1우선주,LG화학우,"LGCHEM,LTD(1P)",2001-04-25,주권,구형우선주,5000,7688800,051915.KS,051910
A079550,LIG넥스원,LIG넥스원,079550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,http://www.lignex1.com,KR7079550000,079550,LIG넥스원보통주,LIG넥스원,"LIG Nex1 Co., Ltd.",2015-10-02,주권,보통주,5000,22000000,079550.KS,079550
A006260,LS,LS,006260,기타 금융업,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,http://www.lsholdings.co.kr,KR7006260004,006260,LS보통주,LS,LS,1977-06-30,주권,보통주,5000,32200000,006260.KS,006260
A000680,LS네트웍스,LS네트웍스,000680,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,http://www.lsnetworks.co.kr,KR7000680009,000680,LS네트웍스보통주,LS네트웍스,LSNetworks,1973-11-15,주권,보통주,5000,78803016,000680.KS,000680
A001120,LX인터내셔널,LX인터내셔널,001120,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,http://www.lxinternational.co.kr,KR7001120005,001120,LX인터내셔널보통주,LX인터내셔널,LX INTERNATIONAL CORP.,1976-01-30,주권,보통주,5000,38760000,001120.KS,001120
A023150,MH에탄올,MH에탄올,023150,알코올음료 제조업,"주정,탄산가스 제조",1996-12-24,12월,http://www.mhethanol.com,KR7023150006,023150,MH에탄올보통주,MH에탄올,MHETHANOL,1996-12-24,주권,보통주,500,7378526,023150.KS,023150
A035420,NAVER,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,http://www.navercorp.com,KR7035420009,035420,NAVER보통주,NAVER,NAVER,2008-11-28,주권,보통주,100,164049085,035420.KS,035420
A034310,NICE,NICE,034310,회사 본부 및 경영 컨설팅 서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",2004-02-04,12월,http://www.nice.co.kr,KR7034310003,034310,NICE보통주,NICE,NICEHoldings,2004-02-04,주권,보통주,500,37882300,034310.KS,034310
A008260,NI스틸,NI스틸,008260,1차 철강 제조업,"스틸파이프,철강재임가공 제조,도매",1975-06-28,12월,http://www.hcr4u.com,KR7008260002,008260,NI스틸보통주,NI스틸,NI STEEL,1975-06-28,주권,보통주,500,28600117,008260.KS,008260
A010060,OCI,OCI,010060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,http://www.oci.co.kr,KR7010060002,010060,OCI보통주,OCI,OCI,1985-07-09,주권,보통주,5000,23849371,010060.KS,010060
A010950,S-Oil,S-Oil,010950,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,http://www.s-oil.com,KR7010950004,010950,S-Oil보통주,S-Oil,S-OilCorporation,1987-05-27,주권,보통주,2500,112582792,010950.KS,010950
